"Position","Nickname","Species","Nature","Gender","ESV","HP_Type","Ability","Move1","Move2","Move3","Move4","HeldItem","HP","ATK","DEF","SPA","SPD","SPE","MetLoc","EggLoc","Ball","OT","Version","OTLang","Legal","EncounterType","EC","PID","IV_HP","IV_ATK","IV_DEF","IV_SPA","IV_SPD","IV_SPE","EXP","Level","EV_HP","EV_ATK","EV_DEF","EV_SPA","EV_SPD","EV_SPE","Cool","Beauty","Cute","Smart","Tough","Sheen","NotOT","AbilityNum","GenderFlag","Form","PokerusStrain","PokerusDays","MetLevel","OriginalTrainerGender","FatefulEncounter","IsEgg","IsNicknamed","IsShiny","TID16","SID16","TSV","Move1_PP","Move2_PP","Move3_PP","Move4_PP","Move1_PPUp","Move2_PPUp","Move3_PPUp","Move4_PPUp","Relearn1","Relearn2","Relearn3","Relearn4","Checksum","Friendship","EggYear","EggMonth","EggDay","MetYear","MetMonth","MetDay"
"main @ [01] (Box 1)-11: 0014 ★ - 铁壳蛹 - 8CB25AC4D442.pa9","铁壳蛹","铁壳蛹","淘气","M","2887","龙","蜕皮","毒针","变硬","硬撑","铁壁","(无)","231","86","149","77","86","106","蓉粉９号街区","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","5AC4D442","2E999AE2","8","6","31","31","25","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","19","0","False","False","False","True","10842","40480","2887","35","30","20","15","0","0","0","0","(无)","(无)","(无)","(无)","36018","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-12: 0015 ★ - 大针蜂 - 8AD23A6F2D76.pa9","大针蜂","大针蜂","坦率","M","2887","恶","蜕皮","日光束","吐丝","硬撑","燕返","(无)","271","216","116","126","196","186","蓉粉９号街区","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","3A6F2D76","E0CE54B4","31","15","15","17","31","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","19","0","False","False","False","True","10842","40480","2887","10","40","20","20","0","0","0","0","(无)","(无)","(无)","(无)","35538","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-13: 0016 ★ - 波波 - 1E9F3D0447F4.pa9","波波","波波","认真","M","2887","水","锐利目光","吹飞","高速移动","燕返","暴风","(无)","221","126","116","106","106","148","１号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","3D0447F4","0C19B862","31","12","6","18","31","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","15","0","False","False","False","True","10842","40480","2887","20","30","20","10","0","0","0","0","(无)","(无)","(无)","(无)","7839","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-14: 0017 ★ - 比比鸟 - FB5929F09664.pa9","比比鸟","比比鸟","勤奋","M","2887","超能力","锐利目光","旋风刀","翅膀攻击","奇异之风","暴风","(无)","267","156","146","136","136","178","１号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","29F09664","ECAC58D7","20","31","23","31","31","6","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","15","0","False","False","False","True","10842","40480","2887","10","35","5","10","0","0","0","0","(无)","(无)","(无)","(无)","64345","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-15: 0018 ★ - 大比鸟 - 444C7C9D1EB1.pa9","大比鸟","大比鸟","自大","M","2887","冰","蹒跚","叫声","反射壁","守住","双翼","(无)","307","196","186","176","193","214","琼黄４号街区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","7C9D1EB1","D9FB6D80","27","31","31","31","31","14","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","40","0","False","False","False","True","10842","40480","2887","40","20","10","10","0","0","0","0","(无)","(无)","(无)","(无)","17484","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-16: 0023 ★ - 阿柏蛇 - BCED8F10A12B.pa9","阿柏蛇","阿柏蛇","慢吞吞","M","2887","钢","蜕皮","刺耳声","种子炸弹","火焰牙","垃圾射击","(无)","211","156","111","127","144","146","４号野生特区","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","8F10A12B","A2D616AD","31","31","9","21","30","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","20","0","False","False","False","True","10842","40480","2887","40","15","15","5","0","0","0","0","(无)","(无)","(无)","(无)","48365","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-17: 0024 ★ - 阿柏怪 - 782EB508F228.pa9","阿柏怪","阿柏怪","乐天","M","2887","钢","威吓","替身","咬碎","终极冲击","精神之牙","(无)","261","226","191","166","174","196","１０号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","B508F228","3A328E49","27","11","31","31","24","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","42","0","False","False","False","True","10842","40480","2887","10","15","5","10","0","0","0","0","(无)","(无)","(无)","(无)","30766","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-18: 0025 ★ - 皮卡丘 - BABF0082336D.pa9","皮卡丘","皮卡丘","勤奋","M","2887","电","静电","高速星星","击掌奇袭","伏特替换","吸取之吻","(无)","211","146","116","136","136","216","１号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","0082336D","5907ED7C","31","29","31","10","21","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","16","0","False","False","False","True","10842","40480","2887","20","10","20","10","0","0","0","0","(无)","(无)","(无)","(无)","47807","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-19: 0026-01 ★ - 雷丘 - C1CD217A82E6.pa9","雷丘","雷丘","勤奋","M","2887","钢","冲浪之尾","十万伏特","精神冲击","伏特替换","电网","(无)","261","206","136","226","206","256","异次元密阿雷","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","217A82E6","A7D913A2","31","25","31","21","12","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","1","0","0","48","0","False","False","False","True","10842","40480","2887","15","10","20","15","0","0","0","0","(无)","(无)","(无)","(无)","49613","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-20: 0026 ★ - 雷丘 - FF7441A459C7.pa9","雷丘","雷丘","勇敢","M","2887","冰","静电","泰山压顶","硬撑","放电","怪异电波","(无)","261","237","146","216","196","230","１号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","41A459C7","B507017C","31","9","31","31","19","0","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","16","0","False","False","False","True","10842","40480","2887","15","20","15","15","0","0","0","0","(无)","(无)","(无)","(无)","65396","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-21: 0035 ★ - 皮皮 - 63C104C5AE94.pa9","皮皮","皮皮","内敛","M","2887","龙","魔法防守","雷电拳","头锤","三重攻击","魅惑之声","(无)","281","113","132","171","166","106","１９号野生特区","－－－－－－－－－－","甜蜜球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","04C5AE94","2DDC99A7","16","31","5","31","15","31","800000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","58","0","False","False","False","True","10842","40480","2887","15","15","10","15","0","0","0","0","(无)","(无)","(无)","(无)","25537","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-22: 0036 ★ - 皮可西 - C5762C8F69ED.pa9","皮可西","皮可西","马虎","M","2887","冰","迷人之躯","撒娇","吸取拳","魅惑之声","魔法火焰","(无)","331","176","182","248","194","156","１９号野生特区","－－－－－－－－－－","甜蜜球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","2C8F69ED","F735434E","31","0","0","15","31","31","800000","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","58","0","False","False","False","True","10842","40480","2887","20","10","15","10","0","0","0","0","(无)","(无)","(无)","(无)","50550","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-23: 0039 ★ - 胖丁 - 2B2EC05F98C2.pa9","胖丁","胖丁","慎重","M","2887","草","迷人之躯","十万伏特","挖洞","祈愿","魔法闪耀","(无)","371","126","76","113","94","76","异次元密阿雷","－－－－－－－－－－","甜蜜球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","C05F98C2","D18E65F5","31","31","4","10","29","31","800000","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","46","0","False","False","False","True","10842","40480","2887","15","10","10","10","0","0","0","0","(无)","(无)","(无)","(无)","11054","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-24: 0040 ★ - 胖可丁 - 4D9FBBCBF87A.pa9","胖可丁","胖可丁","顽皮","M","2887","飞行","好胜","雷电拳","唱歌","十万伏特","反射壁","(无)","421","193","126","206","122","126","异次元密阿雷","－－－－－－－－－－","甜蜜球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","BBCBF87A","B6D802A3","31","31","31","24","18","16","800000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","46","0","False","False","False","True","10842","40480","2887","15","15","15","20","0","0","0","0","(无)","(无)","(无)","(无)","19871","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-25: 0041 ★ - 超音蝠 - C61AD4D8381F.pa9","超音蝠","超音蝠","马虎","M","2887","龙","精神力","飞翔","超音波","电光一闪","挺住","(无)","221","126","106","105","104","146","异次元密阿雷","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","D4D8381F","105CA427","31","29","4","13","31","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","30","0","False","False","False","True","10842","40480","2887","15","20","30","10","0","0","0","0","(无)","(无)","(无)","(无)","50714","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-26: 0042 ★ - 大嘴蝠 - 83ED21AB2C6E.pa9","大嘴蝠","大嘴蝠","怕寂寞","M","2887","地面","精神力","起风","影子分身","咒术","急速折返","(无)","291","215","158","166","186","216","异次元密阿雷","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","21AB2C6E","B04A0431","31","31","23","16","20","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","30","0","False","False","False","True","10842","40480","2887","35","15","10","20","0","0","0","0","(无)","(无)","(无)","(无)","33773","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-27: 0052-02 ★ - 喵喵 - 5CC72D516D00.pa9","喵喵","喵喵","淘气","M","2887","飞行","捡拾","咬住","硬撑","挑衅","种子炸弹","(无)","241","166","160","104","116","116","异次元密阿雷","－－－－－－－－－－","纪念球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","2D516D00","BC8008FB","31","31","31","10","24","28","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","2","0","0","45","0","False","False","False","True","10842","40480","2887","25","20","20","15","0","0","0","0","(无)","(无)","(无)","(无)","23751","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-28: 0052-01 ★ - 喵喵 - 5A0D2B418244.pa9","喵喵","喵喵","慎重","M","2887","虫","技术高手","十万伏特","高速星星","假哭","水之波动","(无)","221","106","106","122","127","216","异次元密阿雷","－－－－－－－－－－","纪念球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","2B418244","CCB978C2","31","31","31","31","0","4","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","1","0","0","26","0","False","False","False","True","10842","40480","2887","15","20","20","20","0","0","0","0","(无)","(无)","(无)","(无)","23053","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-29: 0052 ★ - 喵喵 - 2DDEBCCFF265.pa9","喵喵","喵喵","勇敢","M","2887","幽灵","捡拾","挥指","撒菱","挺住","水之波动","(无)","221","138","106","116","116","194","异次元密阿雷","－－－－－－－－－－","纪念球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","BCCFF265","207F9404","8","10","31","31","0","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","25","0","False","False","False","True","10842","40480","2887","10","20","10","20","0","0","0","0","(无)","(无)","(无)","(无)","11742","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-30: 0053-01 ★ - 猫老大 - 126D2B27A383.pa9","猫老大","猫老大","顽皮","M","2887","水","技术高手","舍身冲撞","吼叫","暗影爪","大声咆哮","(无)","271","171","156","186","149","266","异次元密阿雷","－－－－－－－－－－","纪念球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","2B27A383","5411E06A","26","31","31","28","31","18","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","1","0","0","26","0","False","False","False","True","10842","40480","2887","15","20","15","15","0","0","0","0","(无)","(无)","(无)","(无)","4717","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-01: 0053 ★ - 猫老大 - D6FFC2781469.pa9","猫老大","猫老大","勤奋","M","2887","钢","技术高手","摇尾巴","水之波动","起草","泼冷水","(无)","271","176","156","166","166","266","异次元密阿雷","－－－－－－－－－－","纪念球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","C2781469","0818BC63","31","31","11","17","0","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","25","0","False","False","False","True","10842","40480","2887","30","20","20","20","0","0","0","0","(无)","(无)","(无)","(无)","55039","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-02: 0056 ★ - 猴怪 - 5CDB13CD53F8.pa9","猴怪","猴怪","内敛","M","2887","虫","愤怒穴位","咒术","爆裂拳","下盘踢","重踏","(无)","221","176","106","116","126","176","异次元密阿雷","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","13CD53F8","EC3F5844","30","31","31","31","12","18","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","31","0","False","False","False","True","10842","40480","2887","10","5","20","20","0","0","0","0","(无)","(无)","(无)","(无)","23771","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-03: 0057 ★ - 火暴猴 - F0F5740A86DE.pa9","火暴猴","火暴猴","害羞","M","2887","钢","愤怒穴位","咒术","真气弹","暗影爪","隐形岩","(无)","271","246","156","156","176","226","异次元密阿雷","－－－－－－－－－－","纪念球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(异次元)","740A86DE","6C99D8E2","31","25","31","31","24","21","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","31","0","False","False","False","True","10842","40480","2887","10","5","15","20","0","0","0","0","(无)","(无)","(无)","(无)","61685","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-04: 0063 ★ - 凯西 - 64BF876974CC.pa9","凯西","凯西","冷静","M","2887","钢","精神力","电磁波","瞬间移动","光墙","硬撑","(无)","191","76","66","270","146","194","５号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","876974CC","E98C5DF7","31","19","5","31","24","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","24","0","False","False","False","True","10842","40480","2887","20","20","30","20","0","0","0","0","(无)","(无)","(无)","(无)","25791","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-05: 0064 ★ - 勇基拉 - E7B1ED7EA515.pa9","勇基拉","勇基拉","固执","M","2887","草","同步","替身","硬撑","精神利刃","魔法闪耀","(无)","221","116","96","248","176","246","５号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","ED7EA515","FF734B08","31","31","2","0","31","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","24","0","False","False","False","True","10842","40480","2887","10","20","20","10","0","0","0","0","(无)","(无)","(无)","(无)","59313","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-06: 0065 ★ - 胡地 - FA9F21CB8C0B.pa9","胡地","胡地","浮躁","M","2887","草","精神力","光墙","食梦","精神利刃","意念头锤","(无)","251","136","126","306","226","276","２０号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","21CB8C0B","72DFC6A4","0","31","31","22","31","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","64","0","False","False","False","True","10842","40480","2887","30","15","20","15","0","0","0","0","(无)","(无)","(无)","(无)","64159","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-07: 0066 ★ - 腕力 - F4B87CDDBC7D.pa9","腕力","腕力","认真","M","2887","恶","毅力","连续拳","硬撑","健美","增强拳","(无)","281","196","136","106","106","106","１２号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","7CDDBC7D","E0D854A3","31","31","17","27","19","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","42","0","False","False","False","True","10842","40480","2887","15","20","20","20","0","0","0","0","(无)","(无)","(无)","(无)","62648","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-08: 0067 ★ - 豪力 - 3FD360C0C571.pa9","豪力","豪力","爽朗","M","2887","龙","无防守","喷射火焰","看穿","自我激励","增强拳","(无)","301","236","176","122","156","138","１２号野生特区","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","60C0C571","4333F748","0","29","31","31","27","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","42","0","False","False","False","True","10842","40480","2887","15","5","30","20","0","0","0","0","(无)","(无)","(无)","(无)","16339","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-09: 0068 ★ - 怪力 - E4A46B57A547.pa9","怪力","怪力","勇敢","M","2887","冰","无防守","舍身冲撞","破坏光线","替身","毒击","(无)","321","325","196","166","206","131","２０号野生特区","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","6B57A547","4E8EFAF5","31","15","31","5","31","14","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","64","0","False","False","False","True","10842","40480","2887","15","5","10","20","0","0","0","0","(无)","(无)","(无)","(无)","58532","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-10: 0069 ★ - 喇叭芽 - 25FE53A1506E.pa9","喇叭芽","喇叭芽","淘气","M","2887","草","叶绿素","日光束","毒粉","催眠粉","魔法叶","(无)","241","186","116","158","96","116","１０号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","53A1506E","E09154EB","31","31","26","2","31","29","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","40","0","False","False","False","True","10842","40480","2887","10","35","15","20","0","0","0","0","(无)","(无)","(无)","(无)","9726","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-11: 0070 ★ - 口呆花 - 73554B3BCB43.pa9","口呆花","口呆花","悠闲","M","2887","水","叶绿素","剑舞","终极吸取","种子机关枪","纠缠不休","(无)","271","216","149","206","126","131","１０号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","4B3BCB43","0D99B9E2","20","31","31","6","31","0","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","40","0","False","False","False","True","10842","40480","2887","20","10","30","20","0","0","0","0","(无)","(无)","(无)","(无)","29525","255","1","1","1","2025","12","16"
"main @ [02] (Box 2)-12: 0071 ★ - 大食花 - 4C99DA917B5B.pa9","大食花","大食花","冷静","M","2887","冰","叶绿素","麻痹粉","能量球","酸液炸弹","起草","(无)","301","246","166","259","176","158","１０号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","DA917B5B","685BDC20","31","24","0","31","31","25","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","40","0","False","False","False","True","10842","40480","2887","30","10","20","20","0","0","0","0","(无)","(无)","(无)","(无)","19609","255","1","1","1","2025","12","16"
